Pos.	Car No.	School / Team Name	# of Laps	Last Lap Time	Best Lap Time	Average Lap Time
67	87	US Military Academy Army Motorsports	6	7:22.787 (at 12:40:59.270)	7:22.787 (lap 6)	14:21.413
68	55	Univ of Wisconsin - Stout Blue Devil Racing	5	9:00.010 (at 10:46:23.842)	8:14.764 (lap 2)	8:44.065
69	79	Virginia Western Comm Coll VWCC Motorsports	5	2:06:07.900 (at 14:12:52.574)	6:58.092 (lap 3)	50:10.200
70	25	Pittsburg State University Diddy Kong Racing	4	11:13.951 (at 13:55:42.019)	8:47.374 (lap 3)	58:18.533
71	18	Queen's Univ - Ontario Canada Queen's University Baja SAE Design Team	4	10:08.482 (at 13:55:42.035)	9:12.499 (lap 3)	58:11.019
72	92	Univ of Arkansas- Fort Smith UAFS	3	1:08:44.235 (at 11:40:16.536)	13:47.891 (lap 2)	32:23.341
73	86	North Carolina A & T State Univ Aggie Racing	3	1:01:50.567 (at 12:11:57.909)	10:32.126 (lap 1)	39:48.926
74	20	LeTourneau Univ Renegade Racing	2	36:51.126 (at 10:45:02.288)	6:32.616 (lap 1)	21:41.871
75	60	Univ of Virginia Virginia Baja Racing	1	8:31.528 (at 10:11:19.644)	8:31.528 (lap 1)	8:31.528
76	88	Florida Inst of Tech Florida Tech Motorsports	1	9:03.984 (at 10:11:57.876)	9:03.984 (lap 1)	9:03.984
77	28	Wichita State Univ Shocker Racing	0	(at 10:02:15.918)		 
78	99	Embry-Riddle Aero Univ - Daytona Beach Embry-Riddle Lady Eagles	0	(at 10:02:34.372)		 
79	32	Olin College of Engineering Phoenix Racing	0	(at 10:03:02.463)		 
80	13	Vellore Institute of Technology Chennai TSI	0			 
81	17	Hindustan University STALWARTZ RACING	0			 
82	24	Manhattan College Jasper Racing	0			 
83	34	West Virginia Univ Inst of Tech WVU TECH	0			 
84	46	GB Pantnagar Univ of Agriculture & Tech COTmoKRATS	0			 
85	49	Univ of Cairo BCURT	0			 
86	54	SUNY - Buffalo UB Motorsports	0			 
87	58	PEC University of Technology TEAM RPM	0			 
88	61	Penn State Univ - Harrisburg Car RamRod	0			 
89	67	Univ of Louisville Speed Motorsports	0			 
90	72	Delhi Technological Univ Deltech Baja	0			 
91	74	George Washington Univ GW Colonial Racing	0			 
92	78	Univ of Nevada - Las Vegas Rebel Racing	0			 
93	81	Univ of New Orleans UNO	0			 
94	94	Kansas State Univ - Salina Baja Salina	0			 
95	97	Univ of Tennessee -Chattanooga UTC Racing Mocs	0			 
96	98	Christian Brothers Univ Mud Bucs	0			 
97	102	Univ of Nebraska - Lincoln Husker Racing	0			 
98	103	Illinois Institute of Technology IIT Motorsports	0			 
99	104	Instituto Tecnologico de Chihuahua Panteras Racing Team	0			 
100	105	University of Mount Union UMU Baja	0			 
101	106	Pennsylvania College of Technology Wildcats	0			 
102	107	Georgia Institute of Technology GT Offroad	0			 
103	109	Yeungnam College of Science & Tech YUC Baja SAE Expedition	0			 
104	126	Univ of South Carolina University of South Carolina	0			 
105	128	Universidad Technologica de Ciudad Juarez TOROS BRAVOS	0			 
